table_name,category,type,table_business_key,view_logical_key,current_sources,source_priority,grain,status,notes
sleep_recommendation,Sleep,single_source,day,day,oura_csv,oura_csv,Daily,active,Optimal bedtime (1171 rows)
daily_activity,Activity,single_source,id|day,id|day,oura,oura,Daily,active,Oura scores + contributors
daily_energy_by_source,Activity,single_source,date|energy_type,date|energy_type,apple_health,apple_health,Daily per source,active,Active + basal energy aggregated
step_count,Activity,single_source,startDate,startDate,apple_health,apple_health,Per event,active,591K rows
exercise_time,Activity,single_source,startDate,startDate,apple_health,apple_health,Per session,active,appleexercisetime (148K rows)
stand_time,Activity,single_source,startDate,startDate,apple_health,apple_health,Per hour/event,active,applestandtime (155K rows)
distance,Activity,single_source,startDate,startDate,apple_health,apple_health,Per session,active,walkingrunning + cycling (679K rows)
flights_climbed,Activity,single_source,startDate,startDate,apple_health,apple_health,Per event,active,flightsclimbed (24K rows)
running_speed,Activity,single_source,startDate,startDate,apple_health,apple_health,Per sample,active,runningspeed (83K rows)
physical_effort,Activity,single_source,startDate,startDate,apple_health,apple_health,Per sample,active,physicaleffort (198K rows)
workout,Workout,multi_source,id|source_name,id,oura|strava|lifesum|withings,strava>oura>withings>lifesum,Per session,active,Unified workout table
strava_activity,Workout,single_source,activity_id,activity_id,strava,strava,Per session,active_empty,Merge into unified workout table
daily_readiness,Recovery,single_source,day,day,oura,oura,Daily,active,Scores + 9 contributors
daily_stress,Recovery,single_source,day,day,oura,oura,Daily,active,Daily stress summary
daytime_stress,Recovery,single_source,date,date,oura_csv,oura_csv,Daily,active,Daily avg/max stress from 79K rows
daily_resilience,Recovery,single_source,day,day,oura_csv,oura_csv,Daily,active,Score + contributors (795 rows)
skin_temperature,Recovery,single_source,date,date,oura_csv,oura_csv,Daily,active,avg min max trend from 1.7M raw readings
daily_walking_gait,Mobility,single_source,date,date,apple_health,apple_health,Daily,active,Speed step_length asymmetry double_support
six_min_walk,Mobility,single_source,datetime,datetime,apple_health,apple_health,Per test,active,Clinical fitness test (171 rows)
mindful_session,Mindfulness,single_source,timestamp,timestamp,apple_health,apple_health,Per session,active,35 rows
toothbrushing,Hygiene,single_source,timestamp,timestamp,apple_health,apple_health,Per event,active,243 rows
hand_washing,Hygiene,single_source,startDate,startDate,apple_health,apple_health,Per event,active,handwashingevent (6.7K rows)
water_intake,Nutrition,single_source,timestamp,timestamp,apple_health,apple_health,Per event,active,610 rows
daily_meal,Nutrition,single_source,date|meal_type|title,date|meal_type|title,lifesum,lifesum,Per food item,active,12.8K rows. ONLY nutrition source
audio_exposure,Environment,single_source,date,date,apple_health,apple_health,Daily,active,Environmental + headphone dB summary
daily_weather,Environment,single_source,date,date,open_meteo,open_meteo,Daily,active,20+ weather metrics
lab_results,Clinical,multi_source,test_id|marker_name|source_name,test_id|marker_name,manual_yaml|pdf_parsed|sundhed_dk,sundhed_dk>pdf_parsed>manual_yaml,Per marker,active,97 rows
supplement_log,Clinical,single_source,supplement_name|start_date,supplement_name|start_date,manual_yaml,manual_yaml,Per supplement,active,8 rows
daily_annotations,Clinical,single_source,manual_key,manual_key,manual,manual,Per annotation,active,Manual annotations
personal_info,Meta,single_source,id,id,oura,oura,SCD1 (1 row),active,User profile
enhanced_tag,Meta,single_source,id,id,oura_csv,oura_csv,Per tag,active,enhancedtag (39 rows). PR #109
dim_date,Meta,single_source,date_key,date_key,generated,generated,Daily,active,Generated date dimension
